cluster,model,count,contains_F_ratio,mse,rmse,mae
0,Physics GNN,3829,0.0005223295899712719,0.4002343416213989,0.6326407790184021,0.46340230107307434
0,Base GNN,3829,0.0005223295899712719,0.5667615532875061,0.7528356909751892,0.5527577996253967
0,Random Forest,3829,0.0005223295899712719,0.6155505776405334,0.7845703363418579,0.5582728981971741
1,Physics GNN,3333,0.014101410141014101,0.5996516346931458,0.7743717432022095,0.5640886425971985
1,Base GNN,3333,0.014101410141014101,0.827950656414032,0.909917950630188,0.6590679287910461
1,Random Forest,3333,0.014101410141014101,0.964320719242096,0.9819983243942261,0.6310577988624573
2,Physics GNN,8603,0.001046146693014065,0.26902708411216736,0.5186781883239746,0.363016277551651
2,Base GNN,8603,0.001046146693014065,0.33665958046913147,0.5802237391471863,0.4102133512496948
2,Random Forest,8603,0.001046146693014065,0.3467235863208771,0.5888323783874512,0.384915292263031
3,Physics GNN,6013,0.004490271079328123,0.40720316767692566,0.6381247043609619,0.46417370438575745
3,Base GNN,6013,0.004490271079328123,0.5384133458137512,0.7337665557861328,0.5396867394447327
3,Random Forest,6013,0.004490271079328123,0.5450890064239502,0.7383014559745789,0.5229429006576538
4,Physics GNN,4389,0.06744133059922533,0.469912588596344,0.6855016946792603,0.5103315114974976
4,Base GNN,4389,0.06744133059922533,0.6346564888954163,0.7966533303260803,0.5923649072647095
4,Random Forest,4389,0.06744133059922533,0.8988575339317322,0.9480809569358826,0.6799997091293335
