prop_a,prop_b,r
prop_8,prop_9,0.9999999999999133
prop_7,prop_9,0.9999999994905137
prop_7,prop_8,0.9999999994905113
prop_7,prop_10,0.9999999988798799
prop_9,prop_10,0.9999999969575556
prop_8,prop_10,0.9999999969575242
prop_13,prop_14,0.9999989040424728
prop_12,prop_13,0.9999953505699691
prop_12,prop_14,0.9999921596330611
prop_12,prop_15,0.9998576377750403
prop_13,prop_15,0.9998221001820694
prop_14,prop_15,0.9997957001313327
prop_17,prop_18,0.9811341909045211
prop_6,prop_14,-0.9674167117151433
prop_6,prop_13,-0.9670716752383145
